Year,Construct,Domain,n,mean,sd,median,min,max
Year 1,Implementation,Comp1,1783,3.5705739390540288,0.673682917089698,3.6666666666666665,1,5
Year 1,Implementation,Comp2,1782,3.9582865693976808,0.6217042978850942,4,1,5
Year 1,Implementation,Comp3,1780,3.9553370786516857,0.692324943021759,4,1.5,5
Year 1,Implementation,Comp4,1780,4.2148876404494375,0.5875107679771355,4,2,5
Year 1,Implementation,Comp5,1776,2.995026276276276,1.0014497968993759,3,1,5
Year 1,Implementation,Comp6,1776,4.337274774774774,0.6734282315494557,4,1,5
Year 2,Implementation,Comp1,822,3.550486618004866,0.6564305772463452,3.6,1.4,5
Year 2,Implementation,Comp2,821,3.9092570036540804,0.5765431538565138,4,2,5
Year 2,Implementation,Comp3,821,3.961023142509135,0.6341431135699248,4,2,5
Year 2,Implementation,Comp4,820,4.130081300813008,0.5697957552632198,4,2,5
Year 2,Implementation,Comp5,816,3.2177287581699345,0.9727613886500136,3,1,5
Year 2,Implementation,Comp6,819,4.172568172568172,0.5259489405182143,4,2.6666666666666665,5
Year 3,Implementation,Comp1,541,3.555083179297597,0.629310925545378,3.6,1.6,5
Year 3,Implementation,Comp2,539,3.879777365491651,0.5820416145329004,3.8,2,5
Year 3,Implementation,Comp3,539,3.9443413729128016,0.6571457958494227,4,1,5
Year 3,Implementation,Comp4,537,4.082557417752948,0.5631842788904369,4,1.6666666666666667,5
Year 3,Implementation,Comp5,537,3.2107386716325266,0.8874952015545755,3,1,5
Year 3,Implementation,Comp6,538,4.145910780669145,0.5374769269670872,4,2.6666666666666665,5
Year 4,Implementation,Comp1,858,3.606993006993007,0.6403243070148724,3.6,1.2,5
Year 4,Implementation,Comp2,857,3.911551925320887,0.5732150637194644,4,1.8,5
Year 4,Implementation,Comp3,857,3.9935822637106186,0.6410005161785238,4,2,5
Year 4,Implementation,Comp4,854,4.167252146760344,0.5663306551936413,4,2,5
Year 4,Implementation,Comp5,851,3.2473560517038775,0.9290612283478505,3,1,5
Year 4,Implementation,Comp6,853,4.1934349355216884,0.5469302010817126,4,2.3333333333333335,5
