Year,Construct,Domain,n,mean,sd,median,min,max
Year 4,Implementation,Comp1,858,3.606993006993007,0.6403243070148724,3.6,1.2,5
Year 4,Implementation,Comp2,857,3.911551925320887,0.5732150637194644,4,1.8,5
Year 4,Implementation,Comp3,857,3.9935822637106186,0.6410005161785238,4,2,5
Year 4,Implementation,Comp4,854,4.167252146760344,0.5663306551936413,4,2,5
Year 4,Implementation,Comp5,851,3.2473560517038775,0.9290612283478505,3,1,5
Year 4,Implementation,Comp6,853,4.1934349355216884,0.5469302010817126,4,2.3333333333333335,5
Year 4,PL Need,Need1,736,2.25486865942029,0.7212245492570599,2.2,1,4
Year 4,PL Need,Need2,735,2.21265306122449,0.7383770834364777,2.2,1,4
Year 4,PL Need,Need3,735,2.3346938775510204,0.8140352009412654,2.3333333333333335,1,4
Year 4,PL Need,Need4,735,2.3350340136054415,0.7434412346740689,2.25,1,4
Year 4,PL Need,Need5,735,2.669387755102041,0.772478369161044,3,1,4
Year 4,PL Need,Need6,735,2.039455782312926,0.8702279621733653,2,1,4
