term,df,sumsq,meansq,statistic,p.value,DV
Q58,5,8.542673783010775,1.708534756602155,4.224359174890307,8.606093323565469e-4,Comp1
Residuals,719,290.79830552733426,0.4044482691618001,NA,NA,Comp1
Q58,5,1.6761187838107234,0.33522375676214466,1.0263296572420801,0.4009264821154454,Comp2
Residuals,719,234.8425570782578,0.32662386241760477,NA,NA,Comp2
Q58,5,4.700879309843206,0.9401758619686411,2.253501972845278,0.04749283621401391,Comp3
Residuals,719,299.97153448326054,0.41720658481677403,NA,NA,Comp3
Q58,5,2.000807402403485,0.40016148048069705,1.2661761090841552,0.27664653677970485,Comp4
Residuals,719,227.2322960458721,0.3160393547230488,NA,NA,Comp4
Q58,5,16.774994315962076,3.354998863192415,3.9642052115157607,0.0014893759905680154,Comp5
Residuals,719,608.5063849943823,0.8463232058336333,NA,NA,Comp5
Q58,5,3.217944315731675,0.643588863146335,2.2100434510767686,0.051598656152341243,Comp6
Residuals,719,209.38067637392393,0.2912109546229818,NA,NA,Comp6
