contrast,estimate,SE,df,t.ratio,p.value,DV
Q581 - Q582,0.19691083980762145,0.06834160412196964,719,2.8812733083670903,0.046761379746704135,Comp1
Q581 - Q583,0.18226457589665232,0.06328197593661332,719,2.8801972947118224,0.04690353904577682,Comp1
Q581 - Q584,0.09744025157232744,0.09675130638012355,719,1.0071207843902088,0.915596742684305,Comp1
Q581 - Q585,-0.13851497230826934,0.08548912933114745,719,-1.6202641598058976,0.5853388435942954,Comp1
Q581 - Q586,0.1747880776592842,0.1373191802257988,719,1.2728598974438528,0.7998257052929422,Comp1
Q582 - Q583,-0.014646263910969126,0.07830378998718429,719,-0.18704412536565893,0.9999683995657319,Comp1
Q582 - Q584,-0.099470588235294,0.10718064346781792,719,-0.9280648540345913,0.9392522082375248,Comp1
Q582 - Q585,-0.3354258121158908,0.09713529884502657,719,-3.453181450041577,0.007702630784882647,Comp1
Q582 - Q586,-0.02212276214833725,0.14485659220691469,719,-0.15272181825689274,0.9999884573532887,Comp1
Q583 - Q584,-0.08482432432432488,0.1040275153920999,719,-0.8154027711284417,0.9647121450701203,Comp1
Q583 - Q585,-0.32077954820492166,0.0936445401835617,719,-3.4255018773772683,0.008476587263451685,Comp1
Q583 - Q586,-0.007476498237368123,0.14253934870862311,719,-0.052452170611860124,0.9999999442030045,Comp1
Q584 - Q585,-0.23595522388059678,0.11885077498278729,719,-1.9853065654369464,0.3517388440199758,Comp1
Q584 - Q586,0.07734782608695676,0.16023006190505232,719,0.48272980218150846,0.9967577991144594,Comp1
Q585 - Q586,0.31330304996755354,0.15369205797839397,719,2.03851164522501,0.32150238120441466,Comp1
Q581 - Q582,0.07087891760477784,0.061415449227780104,719,1.1540893780960428,0.8582866715801026,Comp2
Q581 - Q583,-0.07079721230664612,0.05686859461525713,719,-1.2449263567285715,0.814478622676631,Comp2
Q581 - Q584,0.06763522012578649,0.0869459390228112,719,0.7778997028031598,0.9712099856912635,Comp2
Q581 - Q585,-0.04060358584436275,0.0768251396703226,719,-0.5285195187226953,0.9950274307054194,Comp2
Q581 - Q586,-0.0014082581350831906,0.1234024171587571,719,-0.011411916942205984,0.9999999999727804,Comp2
