term,df,sumsq,meansq,statistic,p.value,DV
Q59,3,1.3143836066206172,0.43812786887353905,1.0566753188499465,0.36684202655533726,Comp1
Residuals,718,297.70337608867015,0.41462865750511163,NA,NA,Comp1
Q59,3,0.3827801689242975,0.1275933896414325,0.38830914835833324,0.7614600835001729,Comp2
Residuals,718,235.9255612438174,0.32858713265155626,NA,NA,Comp2
Q59,3,0.5170532518471654,0.17235108394905516,0.40849971264232615,0.7469413755706937,Comp3
Residuals,718,302.9330852523092,0.42191237500321616,NA,NA,Comp3
Q59,3,0.8272542370100038,0.27575141233666794,0.8714752792298446,0.4554782063714181,Comp4
Residuals,718,227.18890458108962,0.31641908716029193,NA,NA,Comp4
Q59,3,0.8170886945819084,0.27236289819396947,0.31402127887598286,0.8152576681856886,Comp5
Residuals,718,622.7493932998779,0.8673389878828383,NA,NA,Comp5
Q59,3,0.48656261295925507,0.16218753765308502,0.5504145499549207,0.647995265050588,Comp6
Residuals,718,211.5689929425965,0.29466433557464694,NA,NA,Comp6
