contrast,estimate,SE,df,t.ratio,p.value,DV
"1 - 1,2",0.120971302428256,0.21676057271464624,718,0.5580872061429192,0.9443353616120691,Comp1
1 - 2,-0.024087694621891562,0.05243982386637476,718,-0.4593397316373706,0.9677927624612792,Comp1
1 - 4,-0.18883261914037186,0.11450002429928308,718,-1.6491928302722134,0.35171890586407095,Comp1
"1,2 - 2",-0.14505899705014758,0.21887094579079594,718,-0.6627604067138255,0.911020934153614,Comp1
"1,2 - 4",-0.30980392156862785,0.24138105010285613,718,-1.2834641386994368,0.5737766064188224,Comp1
2 - 4,-0.1647449245184803,0.11844661494661846,718,-1.3908791280588946,0.5054614461473959,Comp1
"1 - 1,2",0.20533480500367898,0.1929638290313798,718,1.0641103362966924,0.7115146067507082,Comp2
1 - 2,-3.6824317724524835e-4,0.046682794201267946,718,-0.007888199143727488,0.999999823525549,Comp2
1 - 4,-0.012965848591092314,0.10192980594336101,718,-0.12720370132262396,0.9992644483025082,Comp2
"1,2 - 2",-0.20570304818092422,0.19484251787390588,718,-1.0557400429101764,0.7165540361626053,Comp2
"1,2 - 4",-0.2183006535947713,0.21488138317838668,718,-1.0159123622801054,0.7401769076458643,Comp2
2 - 4,-0.012597605413847066,0.10544312588615248,718,-0.1194729889499745,0.9993901337169651,Comp2
"1 - 1,2",0.2111846946284032,0.21865618370946996,718,0.9658299666887346,0.7689329169002843,Comp3
1 - 2,-0.00882513821328801,0.05289841975142338,718,-0.16683179298660517,0.9983478546029635,Comp3
1 - 4,-0.05515517465264279,0.11550134802827614,718,-0.4775284063276918,0.9640405939337122,Comp3
"1,2 - 2",-0.2200098328416912,0.22078501238552986,718,-0.9964889847573302,0.751463830527535,Comp3
"1,2 - 4",-0.26633986928104597,0.24349197169153186,718,-1.093834295360091,0.693432444310451,Comp3
2 - 4,-0.04633003643935478,0.11948245233521974,718,-0.38775598871515726,0.9801848818656875,Comp3
"1 - 1,2",0.2818248712288448,0.18935726347909684,718,1.4883235321995212,0.4450762477376011,Comp4
1 - 2,-0.015126947846868318,0.04581027545878784,718,-0.3302086201266554,0.9875728547879945,Comp4
1 - 4,-0.04497251439207047,0.10002470005532214,718,-0.4496140889919875,0.9696965290329005,Comp4
"1,2 - 2",-0.2969518190757131,0.191200838930181,718,-1.553088473550831,0.4063693801858903,Comp4
"1,2 - 4",-0.32679738562091526,0.2108651704078987,718,-1.5497930975929153,0.4083054715186315,Comp4
2 - 4,-0.02984556654520215,0.10347235474497563,718,-0.2884400052435395,0.9916369405476968,Comp4
"1 - 1,2",0.22479764532744645,0.31350542938845427,718,0.7170454615920131,0.890330040430039,Comp5
1 - 2,0.052477094688311854,0.07584483327567758,718,0.6919007191639586,0.9001985523045426,Comp5
1 - 4,0.045059083235943244,0.1656038219191774,718,0.27208963364344474,0.9929559271557671,Comp5
"1,2 - 2",-0.1723205506391346,0.31655770688118406,718,-0.5443574643526621,0.9480555229083288,Comp5
"1,2 - 4",-0.1797385620915032,0.3491145498049272,718,-0.5148412238674519,0.9555469250484658,Comp5
2 - 4,-0.00741801145236861,0.17131185996326465,718,-0.043301213669382235,0.9999708289534542,Comp5
"1 - 1,2",0.07358351729212662,0.182731920795137,718,0.40268562258819574,0.9779039665813991,Comp6
1 - 2,-0.04981864593304559,0.0442074387479871,718,-1.1269290269686567,0.6729970051859193,Comp6
1 - 4,-0.050599489243821474,0.09652497734835579,718,-0.5242113557945672,0.9532432639872644,Comp6
"1,2 - 2",-0.1234021632251722,0.18451099215008696,718,-0.6688065669539789,0.9088301987864165,Comp6
"1,2 - 4",-0.12418300653594809,0.20348729649698777,718,-0.6102740007545698,0.9288203048221491,Comp6
2 - 4,-7.808433107758875e-4,0.09985200347929842,718,-0.007820006445216434,0.9999998280628398,Comp6
