contrast,estimate,SE,df,t.ratio,p.value,DV
Q651 - Q652,-0.24702380952381064,0.20645970307405478,702,-1.1964746914084536,0.895511869745937,Comp1
Q651 - Q653,-0.09058641975308819,0.17021092875254432,702,-0.5322009604023978,0.9983696141874923,Comp1
Q651 - Q654,-0.21328616352201332,0.163179104674652,702,-1.3070678623176983,0.8486895414528711,Comp1
Q651 - Q655,-0.3483695652173924,0.1643103425150449,702,-2.1201925568714235,0.34179391616646826,Comp1
Q651 - Q656,-0.47977272727272957,0.1664688631757573,702,-2.8820568490708505,0.06167271093936377,Comp1
Q651 - Q657,-0.5046195652173926,0.16216240253579103,702,-3.111816039516419,0.03168443326247661,Comp1
Q652 - Q653,0.15643738977072247,0.15235334861846495,702,1.026806376028433,0.9477961211948366,Comp1
Q652 - Q654,0.03373764600179732,0.14445484682376367,702,0.23355149891894997,0.9999865175500398,Comp1
Q652 - Q655,-0.10134575569358173,0.14573150388940354,702,-0.6954279135861632,0.9928479531322894,Comp1
Q652 - Q656,-0.23274891774891893,0.14816094281383585,702,-1.5709195239218194,0.7010505574510519,Comp1
Q652 - Q657,-0.25759575569358195,0.14330536404697408,702,-1.7975304511919359,0.5501548196514451,Comp1
Q653 - Q654,-0.12269974376892513,0.0849314667496905,702,-1.444691213570408,0.7771982459558793,Comp1
Q653 - Q655,-0.2577831454643042,0.08708514511237836,702,-2.960127644406516,0.049543569602836346,Comp1
Q653 - Q656,-0.3891863075196414,0.09109235011163949,702,-4.272436785774752,4.384780557677992e-4,Comp1
Q653 - Q657,-0.4140331454643044,0.08296130807799826,702,-4.990677643065129,1.5679364676612906e-5,Comp1
Q654 - Q655,-0.13508340169537905,0.07238426925003462,702,-1.86619832036661,0.5036237721911568,Comp1
Q654 - Q656,-0.2664865637507162,0.07715877256980573,702,-3.453742910563088,0.010463855467733651,Comp1
Q654 - Q657,-0.29133340169537925,0.06736644991113933,702,-4.324606715652475,3.500020967459605e-4,Comp1
Q655 - Q656,-0.1314031620553372,0.07952323333133036,702,-1.6523870641407548,0.6481111635632897,Comp1
Q655 - Q657,-0.15625000000000022,0.07006216545768662,702,-2.2301622991422656,0.28061767327768183,Comp1
Q656 - Q657,-0.024846837944663025,0.07498467028825131,702,-0.3313589010813595,0.9998938802718571,Comp1
Q651 - Q652,0.1648809523809506,0.18721484052443021,702,0.8807044992751779,0.975381446910913,Comp2
Q651 - Q653,0.056944444444442674,0.15434494677391236,702,0.36894271976299986,0.9998012027372716,Comp2
Q651 - Q654,-0.0180031446540896,0.14796858468611912,702,-0.12166869536718945,0.9999997234908129,Comp2
Q651 - Q655,-0.05416666666666818,0.1489943757181269,702,-0.36354839842507003,0.9998175548469944,Comp2
Q651 - Q656,-0.2147727272727293,0.1509516927889502,702,-1.422791114856917,0.7894672138657011,Comp2
Q651 - Q657,-0.2543478260869581,0.14704665306482143,702,-1.729708366601421,0.5962295795429368,Comp2
Q652 - Q653,-0.10793650793650793,0.13815193686846497,702,-0.7812884160956406,0.9867126048082303,Comp2
Q652 - Q654,-0.18288409703504022,0.13098968325742236,702,-1.396171763203934,0.8039482227701844,Comp2
Q652 - Q655,-0.21904761904761877,0.13214733845787777,702,-1.6576014439930673,0.6446516611350441,Comp2
Q652 - Q656,-0.3796536796536799,0.1343503205121448,702,-2.825848708112018,0.07186175271708806,Comp2
Q652 - Q657,-0.41922877846790874,0.12994734796613772,702,-3.2261433959941477,0.022210341241820863,Comp2
Q653 - Q654,-0.07494758909853227,0.07701469471428014,702,-0.9731595947576407,0.9596355624669723,Comp2
Q653 - Q655,-0.11111111111111086,0.07896762085535329,702,-1.407046456605746,0.7980910250516591,Comp2
Q653 - Q656,-0.27171717171717197,0.0826012996494,702,-3.2895023791450195,0.018120358121612723,Comp2
Q653 - Q657,-0.3112922705314008,0.07522818172391522,702,-4.137974139449927,7.741684459756648e-4,Comp2
Q654 - Q655,-0.03616352201257858,0.06563706729376585,702,-0.5509618802851869,0.9980186524434458,Comp2
Q654 - Q656,-0.1967695826186397,0.06996652173104988,702,-2.8123390694626584,0.07450705130603041,Comp2
Q654 - Q657,-0.23634468143286852,0.06108697721166046,702,-3.868986357173266,0.0022853308512895687,Comp2
Q655 - Q656,-0.16060606060606114,0.0721105824741593,702,-2.227219016898304,0.28216715370236045,Comp2
