term,df,sumsq,meansq,statistic,p.value,DV
Year,3,1.5376128350363225,0.5125376116787742,1.188027645876961,0.3126911501857783,Comp1
Residuals,3972,1713.595976199135,0.4314189265355325,NA,NA,Comp1
Year,3,3.5714391892669797,1.19047972975566,3.3463241054523603,0.018333237073071613,Comp2
Residuals,3972,1413.068590363056,0.3557574497389366,NA,NA,Comp2
Year,3,0.8783339650079344,0.2927779883359781,0.6639912760913769,0.574125954573756,Comp3
Residuals,3972,1751.3997721718072,0.4409364985326806,NA,NA,Comp3
Year,3,9.183000106904885,3.0610000356349616,9.235481735748746,4.377308098336121e-6,Comp4
Residuals,3972,1316.4762260835507,0.33143913043392514,NA,NA,Comp4
Year,3,53.66237822326008,17.887459407753358,19.178082763789654,2.4123220400005407e-12,Comp5
Residuals,3972,3704.6971609562925,0.9327032127281704,NA,NA,Comp5
Year,3,26.771495803942575,8.923831934647525,24.678289307012236,8.128334560496645e-16,Comp6
Residuals,3972,1436.3013579854698,0.3616065855955362,NA,NA,Comp6
