contrast,estimate,SE,df,t.ratio,p.value,DV
Year 1 - Year 2,0.020770779009690207,0.027794573227225287,3972,0.7472962020278424,0.8778477052307969,Comp1
Year 1 - Year 3,0.013673634364816131,0.03237400163303307,3972,0.42236466532033934,0.9746729472780101,Comp1
Year 1 - Year 4,-0.03588238255411417,0.027388778451952544,3972,-1.3101125563909959,0.5564824778141383,Comp1
Year 2 - Year 3,-0.007097144644874076,0.03652717389952977,3972,-0.1942976662907239,0.9974019564500245,Comp1
Year 2 - Year 4,-0.05665316156380437,0.03219167029591655,3972,-1.75987020999624,0.293037184126407,Comp1
Year 3 - Year 4,-0.0495560169189303,0.03621935003962721,3972,-1.3682193872808757,0.5194536493025478,Comp1
Year 1 - Year 2,0.0494463541774739,0.02523988749252995,3972,1.9590560454006836,0.2038572938173968,Comp2
Year 1 - Year 3,0.07947039043788844,0.02939840638029137,3972,2.703221032115714,0.03478658907067578,Comp2
Year 1 - Year 4,0.05075329729023173,0.02487139057807083,3972,2.0406296596452087,0.1733079640086126,Comp2
Year 2 - Year 3,0.030024036260414534,0.033169847657209185,3972,0.9051605111574598,0.8020982546588173,Comp2
Year 2 - Year 4,0.0013069431127578288,0.029232833683867452,3972,0.04470805419999648,0.9999679211547525,Comp2
Year 3 - Year 4,-0.028717093147656705,0.03289031684635843,3972,-0.8731169505542852,0.8187891697025704,Comp2
Year 1 - Year 2,-0.005832024954869619,0.028099490000385002,3972,-0.2075491389626542,0.9968396046024846,Comp3
Year 1 - Year 3,0.006210141513402572,0.03272915643363072,3972,0.18974340282786406,0.9975788151906178,Comp3
Year 1 - Year 4,-0.035695123582972076,0.027689243505978824,3972,-1.2891332179322479,0.5699081801617137,Comp3
Year 2 - Year 3,0.012042166468272192,0.036927890539682345,3972,0.3260994953213425,0.9880276266487542,Comp3
Year 2 - Year 4,-0.029863098628102457,0.03254482485414655,3972,-0.9175989965205661,0.7954571832278585,Comp3
Year 3 - Year 4,-0.04190526509637465,0.03661668973791074,3972,-1.144430733534835,0.661955370159342,Comp3
Year 1 - Year 2,0.08486223408792797,0.02436196436126056,3972,3.483390453639796,0.002814827574640688,Comp4
Year 1 - Year 3,0.13448681059190912,0.028375836806977934,3972,4.739483508688537,1.3205848621189453e-5,Comp4
Year 1 - Year 4,0.04749082693791291,0.024006284935195583,3972,1.9782664025738803,0.19635050011511046,Comp4
Year 2 - Year 3,0.04962457650398115,0.03201609542564459,3972,1.5499883994046424,0.40769148524734533,Comp4
Year 2 - Year 4,-0.03737140715001506,0.02821602325271106,3972,-1.324474636815602,0.5473033249623609,Comp4
Year 3 - Year 4,-0.08699598365399622,0.03174628758066763,3972,-2.740351401181589,0.03132775795563658,Comp4
Year 1 - Year 2,-0.2236385371060753,0.04086788376008837,3972,-5.472231897764205,3.0599029277045275e-7,Comp5
Year 1 - Year 3,-0.21554747401661087,0.047601268232165136,3972,-4.528187630743861,3.627830804708854e-5,Comp5
Year 1 - Year 4,-0.2517716849244713,0.04027122147026938,3972,-6.251900879399552,2.62783993454363e-8,Comp5
Year 2 - Year 3,0.008091063089464445,0.05370790494988797,3972,0.15064938945233095,0.9987821501693555,Comp5
Year 2 - Year 4,-0.02813314781839596,0.047333176478059666,3972,-0.5943642474837181,0.9338102889186932,Comp5
Year 3 - Year 4,-0.036224210907860405,0.05325529466433923,3972,-0.6801992390836743,0.9046549398872858,Comp5
Year 1 - Year 2,0.16367618612865292,0.025446530604397947,3972,6.432161172508311,2.4434018142116543e-8,Comp6
Year 1 - Year 3,0.19094704044602,0.029639095970535437,3972,6.4424043376978375,2.4379510188410336e-8,Comp6
Year 1 - Year 4,0.14437686546896877,0.025075016745067735,3972,5.757797370060292,7.851139116610284e-8,Comp6
Year 2 - Year 3,0.027270854317367088,0.033441414657739664,3972,0.8154814799694945,0.8471882237548429,Comp6
Year 2 - Year 4,-0.01929932065968415,0.029472167703202597,3972,-0.65483207255186,0.9138807355230281,Comp6
Year 3 - Year 4,-0.04657017497705124,0.03315959528214653,3972,-1.4044253128181303,0.4965919334743123,Comp6
